,channel_id,created_date,country,snippet_title,snippet_description,snippet_customurl,snippet_publishedat,snippet_thumbnails_default_url,snippet_thumbnails_default_width,snippet_thumbnails_default_height,snippet_thumbnails_medium_url,snippet_thumbnails_medium_width,snippet_thumbnails_medium_height,snippet_thumbnails_high_url,snippet_thumbnails_high_width,snippet_thumbnails_high_height,snippet_localized_title,snippet_localized_description,contentdetails_relatedplaylists_likes,contentdetails_relatedplaylists_uploads,statistics_viewcount,statistics_subscribercount,statistics_hiddensubscribercount,statistics_videocount,topicdetails_topicids,topicdetails_topiccategories,status_privacystatus,status_islinked,status_longuploadsstatus,brandingsettings_channel_title,scrape_date
0,UC-v54XQalOcx5yco3aTixrg,2011-10-02T18:09:31Z,GB,Chigz Tech Reviews,"MILESTONES ACHIEVED
OCT 25 - 580K ✅
JULY 25 - 550K ✅
FEB 25 - 520K  ✅
DEC 24 - 500K  ✅
SEPT 24 - 440K ✅
MAR 24 - 400K ✅
NOV 23 - 350K   ✅
FEB 22 - 300K    ✅
MAR 21 - 250K   ✅
JUN 20 - 200K ✅
JULY 19 - 150K  ✅
SEPT 18 - 100K ✅
JAN 18 - 50K ✅ 
May 17 -10K  ✅ 
Jan 17 -  1K   ✅ 
Sept 16 - 0  (Start)
-----------
 ► Business Enquiries - chigz@chigztech.com

As an Amazon Associate I earn from qualifying purchases
",@chigztech,2011-10-02T18:09:31Z,https://yt3.ggpht.com/4Gcj0ewmgVmgGyusA932MqTBfLult4pAPG5vP4gO_QlCzp1x7HCu2MtYOkEoEu8pGAFobEBy0g=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/4Gcj0ewmgVmgGyusA932MqTBfLult4pAPG5vP4gO_QlCzp1x7HCu2MtYOkEoEu8pGAFobEBy0g=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/4Gcj0ewmgVmgGyusA932MqTBfLult4pAPG5vP4gO_QlCzp1x7HCu2MtYOkEoEu8pGAFobEBy0g=s800-c-k-c0x00ffffff-no-rj,800,800,Chigz Tech Reviews,"MILESTONES ACHIEVED
OCT 25 - 580K ✅
JULY 25 - 550K ✅
FEB 25 - 520K  ✅
DEC 24 - 500K  ✅
SEPT 24 - 440K ✅
MAR 24 - 400K ✅
NOV 23 - 350K   ✅
FEB 22 - 300K    ✅
MAR 21 - 250K   ✅
JUN 20 - 200K ✅
JULY 19 - 150K  ✅
SEPT 18 - 100K ✅
JAN 18 - 50K ✅ 
May 17 -10K  ✅ 
Jan 17 -  1K   ✅ 
Sept 16 - 0  (Start)
-----------
 ► Business Enquiries - chigz@chigztech.com

As an Amazon Associate I earn from qualifying purchases
",,UU-v54XQalOcx5yco3aTixrg,173611894,592000,False,2117,"['/m/019_rr', '/m/07c1v', '/m/0bzvm2']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Video_game_culture']",public,True,longUploadsUnspecified,Chigz Tech Reviews,1764668786732813000
1,UC0ArlFuFYMpEewyRBzdLHiw,2018-04-27T19:17:23Z,US,The Cyber Mentor,"Bridging the cybersecurity education gap since 2018.  For our full catalog of the most affordable and practical cybersecurity courses on the market, go to https://academy.tcm-sec.com/

Learn more about our hands-on certifications: https://certifications.tcm-sec.com

To sponsor the channel, please visit: https://www.tcm.rocks/Sponsors

Our annual Black Friday - Cyber Monday Sale is happening all month long. Enjoy 20% off certifications and live trainings, 50% off your first payment to the TCM Security Academy, and deals on certification bundles. These deals close at 11:59 PM ET December 1st!
",@tcmsecurityacademy,2018-04-27T19:17:23Z,https://yt3.ggpht.com/ytc/AIdro_k2S4QRjCmlaGb29l-gxIIc-szbkPet220epi2_7igl0w=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AIdro_k2S4QRjCmlaGb29l-gxIIc-szbkPet220epi2_7igl0w=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AIdro_k2S4QRjCmlaGb29l-gxIIc-szbkPet220epi2_7igl0w=s800-c-k-c0x00ffffff-no-rj,800,800,The Cyber Mentor,"Bridging the cybersecurity education gap since 2018.  For our full catalog of the most affordable and practical cybersecurity courses on the market, go to https://academy.tcm-sec.com/

Learn more about our hands-on certifications: https://certifications.tcm-sec.com

To sponsor the channel, please visit: https://www.tcm.rocks/Sponsors

Our annual Black Friday - Cyber Monday Sale is happening all month long. Enjoy 20% off certifications and live trainings, 50% off your first payment to the TCM Security Academy, and deals on certification bundles. These deals close at 11:59 PM ET December 1st!
",,UU0ArlFuFYMpEewyRBzdLHiw,35344089,954000,False,533,"['/m/019_rr', '/m/07c1v']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Technology']",public,True,longUploadsUnspecified,The Cyber Mentor,1764668786732813000
2,UC0Q7Hlz75NYhYAuq6O0fqHw,2019-04-21T03:33:14Z,JP,Jeremy's IT Lab,"Learn Cisco networking from scratch. I’m Jeremy, a CCNA/CCNP instructor, and here you’ll find full lessons, labs, and practice questions to help you pass Cisco exams and actually understand how networks work.
",@jeremysitlab,2019-04-21T03:33:14Z,https://yt3.ggpht.com/ytc/AIdro_lSErQGE40HlxuZHfZfeeUh97HVGhvNqoCRLPt_-A3DQQ4=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AIdro_lSErQGE40HlxuZHfZfeeUh97HVGhvNqoCRLPt_-A3DQQ4=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AIdro_lSErQGE40HlxuZHfZfeeUh97HVGhvNqoCRLPt_-A3DQQ4=s800-c-k-c0x00ffffff-no-rj,800,800,Jeremy's IT Lab,"Learn Cisco networking from scratch. I’m Jeremy, a CCNA/CCNP instructor, and here you’ll find full lessons, labs, and practice questions to help you pass Cisco exams and actually understand how networks work.
",,UU0Q7Hlz75NYhYAuq6O0fqHw,52254402,516000,False,322,"['/m/01k8wb', '/m/07c1v', '/m/019_rr']","['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",public,True,longUploadsUnspecified,Jeremy's IT Lab,1764668786732813000
3,UC0YHNueF-3Nh3uQT0P4YQZw,2015-04-14T11:44:07Z,RU,Computer Science Center,"На этом канале размещены видеозаписи лекций и докладов преподавателей Computer Science Center, короткие тематические записи на интересные темы в компьютерных науках или программировании. Мы публикуем материалы для ИТ-специалистов, студентов и школьников, интересующихся программированием и математикой.",@compscicenterru,2015-04-14T11:44:07Z,https://yt3.ggpht.com/sCtTL_R0qtacYz7DYIpB8FvrZR2oGUgXowvnvB7roMnVjkXpTU2-nkvdLQuyjF1cWCa9hKdz=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/sCtTL_R0qtacYz7DYIpB8FvrZR2oGUgXowvnvB7roMnVjkXpTU2-nkvdLQuyjF1cWCa9hKdz=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/sCtTL_R0qtacYz7DYIpB8FvrZR2oGUgXowvnvB7roMnVjkXpTU2-nkvdLQuyjF1cWCa9hKdz=s800-c-k-c0x00ffffff-no-rj,800,800,Computer Science Center,"На этом канале размещены видеозаписи лекций и докладов преподавателей Computer Science Center, короткие тематические записи на интересные темы в компьютерных науках или программировании. Мы публикуем материалы для ИТ-специалистов, студентов и школьников, интересующихся программированием и математикой.",,UU0YHNueF-3Nh3uQT0P4YQZw,13094886,165000,False,903,"['/m/07c1v', '/m/01k8wb', '/m/019_rr']","['https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",public,True,longUploadsUnspecified,Computer Science Center,1764668787029995000
4,UC0ZTPkdxlAKf-V33tqXwi3Q,2015-11-02T11:54:19Z,KE,HackerSploit,"HackerSploit is the leading provider of free Infosec and cybersecurity training. Our goal is to make cybersecurity training more effective and accessible to students and professionals. We achieve this by providing essential training on how to attack and defend systems with virtual labs and real-world scenarios. We offer individual and corporate training packages in Penetration Testing & Red Team Operations, Web application penetration testing, and cybersecurity awareness training.",@hackersploit,2015-11-02T11:54:19Z,https://yt3.ggpht.com/ytc/AIdro_k_J7wNcT5Rol4WmhPhxxZVp838zcB1tDhWH2ywfnIZp-o=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AIdro_k_J7wNcT5Rol4WmhPhxxZVp838zcB1tDhWH2ywfnIZp-o=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AIdro_k_J7wNcT5Rol4WmhPhxxZVp838zcB1tDhWH2ywfnIZp-o=s800-c-k-c0x00ffffff-no-rj,800,800,HackerSploit,"HackerSploit is the leading provider of free Infosec and cybersecurity training. Our goal is to make cybersecurity training more effective and accessible to students and professionals. We achieve this by providing essential training on how to attack and defend systems with virtual labs and real-world scenarios. We offer individual and corporate training packages in Penetration Testing & Red Team Operations, Web application penetration testing, and cybersecurity awareness training.",,UU0ZTPkdxlAKf-V33tqXwi3Q,44946416,998000,False,486,"['/m/019_rr', '/m/07c1v', '/m/01k8wb']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Knowledge']",public,True,longUploadsUnspecified,HackerSploit,1764668786732813000
5,UC0uAeNHLLuAovOTHI-aOZiQ,2019-11-17T19:43:28.274793Z,US,PC Builder,"Want to have fun and get the best price to performance in your PC Build? From new builders to pros, you've come to the right place! We'll have builds for the hardcore gamer, creative video editor, and everyday user. We'll cover trends, new products, and random building fun! And beyond the best pc build, if you are looking for the best gaming monitor, best gaming laptop, or DIYPC industry news such as GPU prices coming down, we cover that content as well. ",@pcbuilderchannel,2019-11-17T19:43:28.274793Z,https://yt3.ggpht.com/ytc/AIdro_mY6hllleF6Gg5Eec2L_GfenfaoN1VAs2WWFRPyI4V44w=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AIdro_mY6hllleF6Gg5Eec2L_GfenfaoN1VAs2WWFRPyI4V44w=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AIdro_mY6hllleF6Gg5Eec2L_GfenfaoN1VAs2WWFRPyI4V44w=s800-c-k-c0x00ffffff-no-rj,800,800,PC Builder,"Want to have fun and get the best price to performance in your PC Build? From new builders to pros, you've come to the right place! We'll have builds for the hardcore gamer, creative video editor, and everyday user. We'll cover trends, new products, and random building fun! And beyond the best pc build, if you are looking for the best gaming monitor, best gaming laptop, or DIYPC industry news such as GPU prices coming down, we cover that content as well. ",,UU0uAeNHLLuAovOTHI-aOZiQ,90897565,568000,False,511,"['/m/019_rr', '/m/07c1v', '/m/0bzvm2']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Video_game_culture']",public,True,longUploadsUnspecified,PC Builder,1764668786732813000
6,UC1Yf7IBfhSNFTIyb7v83o_g,2017-08-13T07:11:43Z,IN,AWS with Chetan,"I try to make the simple, to the point AWS knowledge videos based on my decade of experience working in AWS. Hope you find these videos useful. Kindly subscribe to this channel if you like the content.

If you want to learn AWS from basics with hands-on exercises, then I recommend to explore my courses on Udemy: 
AWS Foundation course: https://www.udemy.com/course/aws-certified-cloud-practitioner-clf-c02-latest/?referralCode=E4E802AB0D47D58AC70A

AWS Networking course: https://www.udemy.com/course/networking-in-aws/?referralCode=6F9B5997DA10F80BE734

Regards,
Chetan Agrawal
https://www.linkedin.com/in/chetan-agrawal-30107310
",@awswithchetan,2017-08-13T07:11:43Z,https://yt3.ggpht.com/hOj9us9IWrdNHDeogJ8m770VKnVZYmMKcZrMrCRaq2_9U_v0uBip6rBfj6QTR8Jh4Xse14m6=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/hOj9us9IWrdNHDeogJ8m770VKnVZYmMKcZrMrCRaq2_9U_v0uBip6rBfj6QTR8Jh4Xse14m6=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/hOj9us9IWrdNHDeogJ8m770VKnVZYmMKcZrMrCRaq2_9U_v0uBip6rBfj6QTR8Jh4Xse14m6=s800-c-k-c0x00ffffff-no-rj,800,800,AWS with Chetan,"I try to make the simple, to the point AWS knowledge videos based on my decade of experience working in AWS. Hope you find these videos useful. Kindly subscribe to this channel if you like the content.

If you want to learn AWS from basics with hands-on exercises, then I recommend to explore my courses on Udemy: 
AWS Foundation course: https://www.udemy.com/course/aws-certified-cloud-practitioner-clf-c02-latest/?referralCode=E4E802AB0D47D58AC70A

AWS Networking course: https://www.udemy.com/course/networking-in-aws/?referralCode=6F9B5997DA10F80BE734

Regards,
Chetan Agrawal
https://www.linkedin.com/in/chetan-agrawal-30107310
",,UU1Yf7IBfhSNFTIyb7v83o_g,4734034,99300,False,50,"['/m/01k8wb', '/m/07c1v', '/m/019_rr']","['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",public,True,longUploadsUnspecified,AWS with Chetan,1764668787029995000
7,UC1YoWn9TDojkb9sav-bvykA,2022-11-08T10:07:19.950473Z,,whitesec cyber security ,"Cybersecurity: The Ultimate Challenge in a Digital World

With cyber threats evolving at lightning speed and our dependence on digital systems growing every day, cybersecurity has become one of the greatest challenges of our time. Yet, few have the expertise to combat these threats effectively.

At Whitesec Cyber Security, we're on a mission to bridge this skills gap fast, efficiently, and effectively. Guided by world-renowned ethical hackers, our students dive straight into hands-on cyber-attack simulations, mastering real-world techniques through practical, high-impact assessments.

We don’t just teach cybersecurity we train you to think, act, and operate like a hacker.
",@whiteseccybersecurity,2022-11-08T10:07:19.950473Z,https://yt3.ggpht.com/SAhK_6A6PLdNTsH8CbrCGSrpHiX7qLl39lC6Wb21K5Xo5eCoDwklomUxkYIGgJ5VhswE1yok=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/SAhK_6A6PLdNTsH8CbrCGSrpHiX7qLl39lC6Wb21K5Xo5eCoDwklomUxkYIGgJ5VhswE1yok=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/SAhK_6A6PLdNTsH8CbrCGSrpHiX7qLl39lC6Wb21K5Xo5eCoDwklomUxkYIGgJ5VhswE1yok=s800-c-k-c0x00ffffff-no-rj,800,800,whitesec cyber security ,"Cybersecurity: The Ultimate Challenge in a Digital World

With cyber threats evolving at lightning speed and our dependence on digital systems growing every day, cybersecurity has become one of the greatest challenges of our time. Yet, few have the expertise to combat these threats effectively.

At Whitesec Cyber Security, we're on a mission to bridge this skills gap fast, efficiently, and effectively. Guided by world-renowned ethical hackers, our students dive straight into hands-on cyber-attack simulations, mastering real-world techniques through practical, high-impact assessments.

We don’t just teach cybersecurity we train you to think, act, and operate like a hacker.
",,UU1YoWn9TDojkb9sav-bvykA,1611581,56600,False,33,"['/m/01k8wb', '/m/07c1v', '/m/019_rr']","['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",public,True,longUploadsUnspecified,whitesec cyber security ,1764668787029995000
8,UC1szFCBUWXY3ESff8dJjjzw,2013-12-15T08:26:19Z,SG,Loi Liang Yang,"Mr Loi Liang Yang is a Principal Security Engineer at Amazon Web Services (AWS). Loi holds Certified Information Systems Security Professional (CISSP), Certified Ethical Hacker, CompTIA Security+ and is 12 x AWS Certified Golden Jacket holder. Loi advises large enterprises including multiple fortune 500 companies on security strategy to protect against advanced threats. Loi has worked at IBM as a Security Software Segment Leader. Loi holds a Bachelor's Degree in Computing from National University of Singapore.

Join thousands of students on the channel now to learn all about ethical hacking!

About The Trainer:
Loi Liang Yang
Certified Information Systems Security Professional, Certified Ethical Hacker, CompTIA Security+
AWS Certified Security Specialty, Networking Specialty, Solutions Architect Professional, Solutions Architect Associate, Developer Associate, Cloud Practitioner, SysOps Administrator Associate
",@loiliangyang,2013-12-15T08:26:19Z,https://yt3.ggpht.com/sFOhLLMzdFFtQ7sXa7lddAJBOeCbPB5lRINfVnhd91d3k51YfrzUGkaDqvY4gS2zCiV5p-uY=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/sFOhLLMzdFFtQ7sXa7lddAJBOeCbPB5lRINfVnhd91d3k51YfrzUGkaDqvY4gS2zCiV5p-uY=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/sFOhLLMzdFFtQ7sXa7lddAJBOeCbPB5lRINfVnhd91d3k51YfrzUGkaDqvY4gS2zCiV5p-uY=s800-c-k-c0x00ffffff-no-rj,800,800,Loi Liang Yang,"Mr Loi Liang Yang is a Principal Security Engineer at Amazon Web Services (AWS). Loi holds Certified Information Systems Security Professional (CISSP), Certified Ethical Hacker, CompTIA Security+ and is 12 x AWS Certified Golden Jacket holder. Loi advises large enterprises including multiple fortune 500 companies on security strategy to protect against advanced threats. Loi has worked at IBM as a Security Software Segment Leader. Loi holds a Bachelor's Degree in Computing from National University of Singapore.

Join thousands of students on the channel now to learn all about ethical hacking!

About The Trainer:
Loi Liang Yang
Certified Information Systems Security Professional, Certified Ethical Hacker, CompTIA Security+
AWS Certified Security Specialty, Networking Specialty, Solutions Architect Professional, Solutions Architect Associate, Developer Associate, Cloud Practitioner, SysOps Administrator Associate
",,UU1szFCBUWXY3ESff8dJjjzw,56478622,1190000,False,491,"['/m/07c1v', '/m/019_rr']","['https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",public,True,longUploadsUnspecified,Loi Liang Yang,1764668786732813000
9,UC2D6eRvCeMtcF5OGHf1-trw,2013-01-14T03:42:32Z,CA,CodeWithChris,"Welcome to the largest dedicated iOS tutorial channel on YouTube! Learn how to make an app with Swift, SwiftUI and Xcode. With over 17 million video views and 7 years of teaching online, let me help you turn your app idea into a reality! We answer every single comment so don't hesitate to leave your question and either myself or someone from my team will get back to you!",@codewithchris,2013-01-14T03:42:32Z,https://yt3.ggpht.com/K4zGlf7TceeCNLGxZAWr9MePQdfQ97wfQRa_8AxXTNaqh3S3_h87i-2pMebcavkZMYcCIcASQQ=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/K4zGlf7TceeCNLGxZAWr9MePQdfQ97wfQRa_8AxXTNaqh3S3_h87i-2pMebcavkZMYcCIcASQQ=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/K4zGlf7TceeCNLGxZAWr9MePQdfQ97wfQRa_8AxXTNaqh3S3_h87i-2pMebcavkZMYcCIcASQQ=s800-c-k-c0x00ffffff-no-rj,800,800,CodeWithChris,"Welcome to the largest dedicated iOS tutorial channel on YouTube! Learn how to make an app with Swift, SwiftUI and Xcode. With over 17 million video views and 7 years of teaching online, let me help you turn your app idea into a reality! We answer every single comment so don't hesitate to leave your question and either myself or someone from my team will get back to you!",,UU2D6eRvCeMtcF5OGHf1-trw,49409115,624000,False,689,"['/m/01k8wb', '/m/07c1v', '/m/019_rr']","['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Technology', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",public,True,longUploadsUnspecified,CodeWithChris,1764668786732813000
